id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,3,25,100000000
1,2,3,54,46,267361000
2,4,5,194,40,5000000000
3,6,7,54,145,250000000
4,8,9,95,334,16777215000
5,10,11,344,332,9000000000
6,12,13,349,343,9000000000
7,14,15,364,358,9000000000
8,16,17,349,359,9000000000
9,18,19,76,359,250000000
10,20,21,94,371,500000000
11,22,23,410,54,255868000
12,24,25,207,340,16777215000
13,26,27,54,394,100000000
14,28,29,266,4,200000000
15,30,31,266,8,500000000
16,32,33,286,400,837219000
17,34,35,468,469,100000000
18,36,37,54,538,20000000
19,38,39,540,355,198062000
20,40,41,10,551,200000000
21,42,43,501,109,700000000
22,44,45,141,627,522000000
23,46,47,520,627,522000000
24,48,49,582,513,1500000000
25,50,51,513,650,300000000
26,52,53,513,642,3000000000
27,54,55,334,667,16777215000
28,56,57,350,682,2500000000
29,58,59,350,466,9000000000
30,60,61,139,755,300000000
31,62,63,777,781,1000000000
32,64,65,458,451,2000000000
33,66,67,353,511,100000000
34,68,69,46,839,5000000000
35,70,71,184,855,2600000000
36,72,73,739,864,100000000
37,74,75,513,892,4300000000
38,76,77,87,477,120000000
39,78,79,953,349,299795000
40,80,81,16,342,924343000
41,82,83,667,344,6399649000
42,84,85,475,344,1296478000
43,86,87,513,1012,100000000
44,88,89,400,962,300000000
45,90,91,802,326,1963329000
46,92,93,58,1063,100000000
47,94,95,77,345,2000000000
48,96,97,177,1079,5000000000
49,98,99,171,488,1000000000
50,100,101,488,347,1000000000
51,102,103,282,340,2000000000
52,104,105,334,400,500000000
53,106,107,749,282,150000000
54,108,109,951,282,150000000
55,110,111,1041,282,40000000
56,112,113,1144,227,21000000
57,114,115,1144,282,30000000
58,116,117,1169,350,400000000
59,118,119,551,332,200000000
60,120,121,1156,2,485000000
61,122,123,1198,282,40000000
62,124,125,1241,400,100000000
63,126,127,330,772,409293000
64,128,129,54,1265,1000000000
65,130,131,1277,46,1200000000
66,132,133,573,130,2000000000
67,134,135,1316,282,40000000
68,136,137,227,17,125000000
69,138,139,16,87,2000000000
70,140,141,139,282,40000000
71,142,143,440,282,40000000
72,144,145,539,513,60567000
73,146,147,54,1447,200000000
74,148,149,1438,1324,3000000000
75,150,151,1460,513,275417000
76,152,153,746,820,317500000
77,154,155,1475,354,5000000000
78,156,157,358,1475,10000000000
79,158,159,356,1477,10000000000
80,160,161,354,1476,5000000000
81,162,163,1473,359,10000000000
82,164,165,354,1477,10000000000
83,166,167,344,332,16777215000
84,168,169,352,1476,16777215000
85,170,171,346,355,16777215000
86,172,173,1259,1473,10000000000
87,174,175,1477,350,16777215000
88,176,177,1473,400,1438805000
89,178,179,1473,1290,10000000000
90,180,181,58,660,2000000000
91,182,183,344,1528,34231000
92,184,185,550,2,372508000
93,186,187,476,561,5550000000
94,188,189,1550,347,144383000
95,190,191,1564,1477,958008000
96,192,193,1474,1572,2000000000
97,194,195,1579,2,355922000
98,196,197,76,714,250001000
99,198,199,896,345,1000000000
100,200,201,1604,43,100000000
101,202,203,346,1599,100000000
102,204,205,986,282,452608000
103,206,207,1636,346,1000000000
104,208,209,1203,177,1000000000
105,210,211,513,1504,500000000
106,212,213,1632,1475,2020000000
107,214,215,1685,350,40000000
108,216,217,1527,150,200000000
109,218,219,1708,76,30000000
110,220,221,1685,376,200000000
111,222,223,1711,355,210737000
112,224,225,41,17,809068000
113,226,227,8,1665,4000000000
114,228,229,282,1759,70000000
115,230,231,227,1764,80363000
116,232,233,46,26,2000000000
117,234,235,698,355,4565771000
118,236,237,350,319,10000000000
119,238,239,1115,1476,780303000
120,240,241,358,326,16777215000
121,242,243,1817,58,100000000
122,244,245,356,215,211097000
123,246,247,1475,1845,100000000
124,248,249,1818,1476,2020000000
125,250,251,1867,1476,1000000000
126,252,253,1642,1190,154259000
127,254,255,1218,58,500000000
128,256,257,1756,400,3000000000
129,258,259,1921,513,500000000
130,260,261,1473,1664,16000000000
131,262,263,1941,349,60000000
132,264,265,1952,2,100000000
133,266,267,94,1777,5000000000
134,268,269,1794,343,500000000
135,270,271,358,1988,171850000
