id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,2,1,1443619,0,1,1000,144
1,0,0,1,2,18556381,1000,1,1000,144
2,1,3,3,2,878820,49,9000,1000,30
3,1,2,2,3,104121180,0,0,1000,9
4,2,5,9,10,8868224,1000,1,1000,144
5,2,4,10,9,87485776,1000,1,1000,144
6,3,7,9,10,7269360,1000,1,1000,144
7,3,6,10,9,242730640,1000,1,1000,144
8,4,9,8,12,2620897,200,1,1000,40
9,4,8,12,8,61253103,1000,1,1000,144
10,5,11,13,10,4023799,1000,1000,1000,40
11,5,10,10,13,145976201,1000,1,1000,144
12,6,13,14,15,69552,5000,50,0,144
13,6,12,15,14,1930448,1000,10,1000,14
14,7,15,2,17,9861803,0,1,1000,144
15,7,14,17,2,190138197,100,1,1000,144
16,8,17,16,18,81122,0,1,0,144
17,8,16,18,16,3251878,1000,10,1000,14
18,9,19,2,19,9243358,0,0,1000,18
19,9,18,19,2,98996642,1000,1,1000,144
20,10,21,20,21,3015569,1,100,1000,40
21,10,20,21,20,234912431,1000,1,900,144
22,11,23,16,24,168936658,0,1,1000,144
23,11,22,24,16,1662320342,800,1,1000,144
24,12,25,3,25,6790445,49,9000,0,30
25,12,24,25,3,93209555,1000,10,1000,14
26,13,27,27,28,1064312,1000,1,0,144
27,13,26,28,27,18935688,1000,10,1000,14
28,14,29,29,8,882693,1000,10,1000,14
29,14,28,8,29,9117307,100,1,0,144
30,15,31,27,25,11711178,1000,1,0,144
31,15,30,25,27,288288822,1000,10,1000,14
32,16,33,30,22,3340888,1000,1,1000,144
33,16,32,22,30,186481112,0,1,1000,144
34,17,35,10,32,4921973,1000,1,0,144
35,17,34,32,10,45078027,1000,10,1000,14
36,18,37,3,32,2072022,49,9000,0,30
37,18,36,32,3,47927978,1000,10,1000,14
38,19,39,24,32,1697048,1000,10,0,144
39,19,38,32,24,48302952,1000,10,1000,14
40,20,41,24,35,4302071,800,1,1000,144
41,20,40,35,24,152622929,1000,1,1000,144
42,21,43,36,4,9034721,1000,1,1000,144
43,21,42,4,36,876870279,1000,1,1000,144
44,22,45,37,33,3622710,1000,10,1000,14
45,22,44,33,37,46377290,0,0,1,40
46,23,47,33,39,8110421,0,0,1,40
47,23,46,39,33,91889579,1000,10,1000,14
48,24,49,21,40,31356174,1000,1,1000,14
49,24,48,40,21,326526826,1000,1900,1000,144
50,25,51,8,45,1785427,200,1,1000,40
51,25,50,45,8,18214573,1000,1,1000,144
52,26,53,43,39,6077969,1,1,1000,4
53,26,52,39,43,173922031,1000,10,1000,14
54,27,55,46,6,8315133,1000,1,1000,144
55,27,54,6,46,438943867,49,10,1000,144
56,28,57,49,40,11598223,100,100,1000,144
57,28,56,40,49,188401777,1000,1900,1000,144
58,29,59,46,39,9388169,1000,1,1000,144
59,29,58,39,46,170611831,1000,10,1000,14
60,30,61,46,51,1008215,1000,1,1000,144
61,30,60,51,46,18991785,1000,1,1000,144
62,31,63,53,40,12618024,1000,1,1000,144
63,31,62,40,53,178163976,1000,1900,1000,144
64,32,65,54,55,8794387,1000,1,1000,144
65,32,64,55,54,80346613,1000,1,1000,144
66,33,67,54,57,3339482,1000,1,1000,144
67,33,66,57,54,196660518,1000,10,1000,14
68,34,69,59,60,9262033,1000,1,1000,144
69,34,68,60,59,123502967,100,10,1000,144
70,35,71,58,61,342356,1000,1,1000,144
71,35,70,61,58,33660644,1000,1000,1000,4
72,36,73,63,64,70114284,0,1,1000,144
73,36,72,64,63,929885716,1000,1,1000,144
74,37,75,54,67,279140,1000,1,1000,144
75,37,74,67,54,125911860,1000,1,1000,144
76,38,77,46,51,1964729,1000,1,1000,144
77,38,76,51,46,18035271,1000,1,1000,144
78,39,79,69,24,17136708,1000,1,1000,144
79,39,78,24,69,165382292,800,1,1000,144
80,40,81,63,70,28441018,0,1,1000,144
81,40,80,70,63,971558982,1000,1,1000,144
82,41,83,54,71,40977157,1000,1,1000,144
83,41,82,71,54,439022843,1000,1,1000,144
84,42,85,54,72,3669034,1000,1,1000,144
85,42,84,72,54,173046966,1000,10,1000,14
86,43,87,54,73,9267386,1000,1,1000,144
87,43,86,73,54,244169614,1000,1,1000,144
88,44,89,46,45,4273784,1000,1,1000,144
89,44,88,45,46,245726216,1000,1,1000,144
90,45,91,75,17,19843328,1000,1,1000,144
91,45,90,17,75,980156672,100,1,1000,144
92,46,93,76,5,40347545,1000,1,1000,144
93,46,92,5,76,959652455,1000,1,1000,144
94,47,95,79,63,3881612,1000,1,1000,144
95,47,94,63,79,296118388,0,1,1000,144
96,48,97,24,80,8978018,800,10,1000,144
97,48,96,80,24,191021982,1000,10,1000,14
98,49,99,33,81,8531693,0,0,1,40
99,49,98,81,33,91468307,1000,100,1000,144
100,50,101,82,54,835726,1000,1,1000,144
101,50,100,54,82,23253274,1000,1,1000,144
102,51,103,24,83,22454854,800,10,1000,144
103,51,102,83,24,477545146,1000,10,1000,14
104,52,105,84,54,13048213,1000,1,1000,144
105,52,104,54,84,162315787,1000,1,1000,144
106,53,107,54,85,53286550,1000,1,1000,144
107,53,106,85,54,799338450,1000,1,1000,144
108,54,109,46,49,24145064,1000,1,1000,144
109,54,108,49,46,875854936,100,100,1000,144
110,55,111,87,24,27769343,1,8,1,64
111,55,110,24,87,322230657,800,8,1000,144
112,56,113,8,88,3962203,200,1,1000,40
113,56,112,88,8,46037797,1000,10,1000,14
114,57,115,89,1,19392969,1000,10,1000,14
115,57,114,1,89,480607031,1000,1,1000,144
116,58,117,54,80,4410546,1000,1,1000,144
117,58,116,80,54,295589454,1000,10,1000,14
118,59,119,10,80,18265370,1000,1,1000,144
119,59,118,80,10,281734630,1000,10,1000,14
120,60,121,87,80,4765939,1,19,1,40
121,60,120,80,87,395234061,1000,10,1,14
122,61,123,27,80,36978741,1000,1,1000,144
123,61,122,80,27,363021259,1000,10,1000,14
124,62,125,54,91,25785039,1000,1,1000,144
125,62,124,91,54,240082961,1000,1,1000,144
126,63,127,87,49,20017280,1,8,1,64
127,63,126,49,87,641482720,100,100,1000,144
128,64,129,87,93,253244,1,8,1,64
129,64,128,93,87,101746756,1000,1,1000,144
130,65,131,54,96,19598166,1000,1,1000,144
131,65,130,96,54,220158834,1000,100,1000,144
132,66,133,98,99,30893292,1000,1,1000,20
133,66,132,99,98,467871708,1000,1,1000,144
134,67,135,95,40,185156963,1000,1,1000,144
135,67,134,40,95,3814843037,1000,1900,1000,144
136,68,137,106,98,24342669,10000,10,1000,40
137,68,136,98,106,474422331,1000,1,1000,20
138,69,139,54,46,3885080,1000,1,1000,144
139,69,138,46,54,263475920,1000,1,1000,144
140,70,141,87,110,179292405,1,8,1,64
141,70,140,110,87,1820707595,1000,1,1000,144
142,71,143,111,10,13653031,1000,1,1000,144
143,71,142,10,111,134311969,1000,1,1000,144
144,72,145,87,112,2142300,1,8,1,64
145,72,144,112,87,22857700,1000,1,1000,144
146,73,147,87,76,15211546,1,8,1,64
147,73,146,76,87,234788454,1000,1,1000,144
148,74,149,87,6,9399944,1,8,1,64
149,74,148,6,87,90600056,49,10,1000,144
150,75,151,54,113,2718500,1000,1,1000,144
151,75,150,113,54,41780500,1000,1,1000,144
152,76,153,109,77,7266006,1000,1,1000,144
153,76,152,77,109,292733994,1000,1700,1000,30
154,77,155,118,119,6806788,1000,1,1000,144
155,77,154,119,118,116199212,490,1,1000,144
156,78,157,54,120,76498633,1000,1,1000,144
157,78,156,120,54,1123501367,1000,1,1000,144
158,79,159,121,46,12303832,1000,1,1000,144
159,79,158,46,121,487696168,1000,1,1000,144
160,80,161,122,87,981668,475,250,1000,144
161,80,160,87,122,299018332,1,8,1,64
162,81,163,87,124,2257897,1,8,1,64
163,81,162,124,87,297742103,1000,1,1000,144
164,82,165,87,125,2140044,1,19,1,40
165,82,164,125,87,197859956,1000,100,1,144
166,83,167,46,126,4498627,1000,1,1000,144
167,83,166,126,46,43501373,1000,1,1000,144
168,84,169,46,109,13042372,1000,1,1000,144
169,84,168,109,46,186957628,1000,1,1000,144
170,85,171,127,115,14257531,1000,1,1000,144
171,85,170,115,127,385742469,1000,1,1000,144
172,86,173,58,129,8611393,1000,1,1000,144
173,86,172,129,58,91388607,1000,100,1000,144
174,87,175,54,33,11635061,1000,1,1000,144
175,87,174,33,54,214952939,0,0,1000,40
176,88,177,129,130,2080187,1000,100,1000,144
177,88,176,130,129,97919813,1,1,1000,40
178,89,179,132,2,252244,1000,1000,1000,40
179,89,178,2,132,29747756,0,1000,1000,18
180,90,181,76,77,90553332,1000,1,1000,144
181,90,180,77,76,909446668,1000,1700,1000,30
182,91,183,46,33,277841961,1000,1,1000,144
183,91,182,33,46,4722158039,0,0,1000,40
184,92,185,54,131,49,1000,1,1000,144
185,92,184,131,54,23401951,1000,1,1000,144
186,93,187,134,46,1074362,1000,10,1000,14
187,93,186,46,134,18925638,1000,1,1000,144
188,94,189,87,135,16142741,1,19,1,40
189,94,188,135,87,183857259,1000,10,1,14
190,95,191,136,109,900622,1000,1,1000,144
191,95,190,109,136,19099378,1000,1,1000,144
192,96,193,87,137,3813200,1,8,1,64
193,96,192,137,87,41622800,1000,1,1000,144
194,97,195,10,108,12825345,1000,1,1000,144
195,97,194,108,10,187174655,1000,1,1000,144
196,98,197,4,108,8001463,1000,1,1000,144
197,98,196,108,4,191998537,1000,1,1000,144
198,99,199,24,108,12898673,800,1,1000,144
199,99,198,108,24,187101327,1000,1,1000,144
200,100,201,10,108,764996,1000,1,1000,144
201,100,200,108,10,199235004,1000,1,1000,144
202,101,203,138,33,749970,1000,1,1000,144
203,101,202,33,138,28432030,0,0,1000,40
204,102,205,141,49,16074199,1000,100,1000,144
205,102,204,49,141,283925801,100,100,1000,144
206,103,207,87,144,14888512,1,19,1,40
207,103,206,144,87,385111488,1000,10,1,14
208,104,209,54,144,877245,1000,1,1000,144
209,104,208,144,54,399122755,1000,10,1000,14
210,105,211,54,107,144738994,1000,1,1000,144
211,105,210,107,54,16629997006,1000,1,1000,144
212,106,213,147,2,25611237,1000,1,1000,144
213,106,212,2,147,374266763,0,1000,1000,9
214,107,215,148,63,771866,1000,1,1000,144
215,107,214,63,148,19228134,0,1,1000,144
216,108,217,148,63,2925416,1000,1,1000,144
217,108,216,63,148,27074584,0,1,1000,144
218,109,219,148,63,1157045,1000,1,1000,144
219,109,218,63,148,28842955,0,1,1000,144
220,110,221,54,149,1208969,1000,1,1000,144
221,110,220,149,54,18791031,1000,1,1000,144
222,111,223,87,149,17761759,1,8,1,64
223,111,222,149,87,182238241,1000,1,1000,144
224,112,225,149,130,1740510,1000,1,1000,144
225,112,224,130,149,18259490,1,1,1000,40
226,113,227,46,149,1565658,1000,1,1000,144
227,113,226,149,46,18434342,1000,1,1000,144
228,114,229,87,152,36380803,1,8,1,64
229,114,228,152,87,595121197,1000,1,1000,144
230,115,231,130,108,16162830,1,1,1000,40
231,115,230,108,130,183837170,1000,1,1000,144
232,116,233,87,108,9279526,1,8,1,64
233,116,232,108,87,190720474,1000,1,1000,144
234,117,235,40,108,11969535,1000,1900,1000,144
235,117,234,108,40,188030465,1000,1,1000,144
236,118,237,33,108,6071055,0,0,1000,40
237,118,236,108,33,193928945,1000,1,1000,144
238,119,239,22,153,15704331,0,1,1000,144
239,119,238,153,22,484295669,1,1,1000,34
240,120,241,123,130,1218154953,1000,1,1000,144
241,120,240,130,123,11019042047,1,1,1000,40
242,121,243,54,155,52642,1000,1,1000,144
243,121,242,155,54,19947358,1000,1,1000,144
244,122,245,24,108,5775924,800,1,1000,144
245,122,244,108,24,194224076,1000,1,1000,144
246,123,247,46,45,65122321,1000,1,1000,144
247,123,246,45,46,934877679,1000,1,1000,144
248,124,249,40,108,15885376,1000,1900,1000,144
249,124,248,108,40,184114624,1000,1,1000,144
250,125,251,158,130,11341653,1000,1,1000,144
251,125,250,130,158,288658347,1,1,1000,40
252,126,253,46,158,35184310,1000,1,1000,144
253,126,252,158,46,464815690,1000,1,1000,144
254,127,255,165,24,10621880,1000,1,1,144
