id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,5096764,1000,1,1000,144,0,98
1,0,0,1,0,44903236,1000,1,1000,144,0,105
2,1,3,2,1,54655,0,1,1000,144,0,118
3,1,2,1,2,19945345,1000,1,1000,144,0,115
4,2,5,2,1,1443619,0,1,1000,144,0,0
5,2,4,1,2,18556381,1000,1,1000,144,0,0
6,3,7,3,2,1166585,49,9000,1000,30,0,97
7,3,6,2,3,103833415,0,0,1000,9,0,92
8,4,9,2,4,48443,0,0,1000,18,0,170
9,4,8,4,2,19951557,1000,1,1000,144,0,168
10,5,11,2,5,1523,0,0,1000,18,0,56
11,5,10,5,2,21998477,1000,1,1000,144,0,43
12,6,13,2,6,5635994,0,1000,1000,18,0,17
13,6,12,6,2,38364006,49,10,1000,144,0,47
14,7,15,7,8,555549,1000,10,1000,14,0,87
15,7,14,8,7,6233451,10,1,0,14,0,87
16,8,17,9,10,8971835,1000,1,1000,144,0,34
17,8,16,10,9,87382165,1000,1,1000,144,0,36
18,9,19,9,10,7269360,1000,1,1000,144,0,0
19,9,18,10,9,242730640,1000,1,1000,144,0,0
20,10,21,11,4,1788302,1000,1,1000,144,0,96
21,10,20,4,11,32838698,1000,1,1000,144,0,104
22,11,23,8,12,1125120,200,1,1000,40,0,80
23,11,22,12,8,62748880,1000,1,1000,144,0,66
24,12,25,10,8,9993154,1000,1,1000,144,0,15
25,12,24,8,10,140006846,200,1,1000,40,0,57
26,13,27,13,10,4124469,1000,1000,1000,40,0,0
27,13,26,10,13,145875531,1000,1,1000,144,0,1
28,14,29,6,4,1115725,49,10,1000,144,0,10
29,14,28,4,6,11021275,1000,1,1000,144,0,17
30,15,31,14,15,370066,5000,50,0,144,0,0
31,15,30,15,14,1629934,1000,10,1000,14,0,3
32,16,33,16,15,1724424,0,1,0,144,0,91
33,16,32,15,16,275576,1000,10,1000,14,0,113
34,17,35,2,17,47739,0,1,1000,144,0,212
35,17,34,17,2,199952261,100,1,1000,144,0,121
36,18,37,16,18,585366,0,1,0,144,0,87
37,18,36,18,16,2747634,1000,10,1000,14,0,99
38,19,39,2,19,61748,0,0,1000,18,0,185
39,19,38,19,2,108178252,1000,1,1000,144,0,100
40,20,41,20,21,3113140,1,100,1000,40,0,3
41,20,40,21,20,234814860,1000,1,900,144,0,4
42,21,43,22,23,624348,0,1,0,144,0,83
43,21,42,23,22,475652,1000,10,1000,14,0,96
44,22,45,16,24,166731556,0,1,1000,144,0,42
45,22,44,24,16,1664525444,800,1,1000,144,0,20
46,23,47,3,25,6790445,49,9000,0,30,0,0
47,23,46,25,3,93209555,1000,10,1000,14,0,0
48,24,49,26,10,29243579,5000,3000,1000,288,0,1
49,24,48,10,26,270756421,1000,1,1000,144,0,3
50,25,51,27,28,1669033,1000,1,0,144,0,92
51,25,50,28,27,18330967,1000,10,1000,14,0,107
52,26,53,29,8,1281328,1000,10,1000,14,0,116
53,26,52,8,29,8718672,100,1,0,144,0,117
54,27,55,27,25,10325949,1000,1,0,144,0,103
55,27,54,25,27,289674051,1000,10,1000,14,0,98
56,28,57,30,22,4348022,1000,1,1000,144,0,43
57,28,56,22,30,185473978,0,1,1000,144,0,50
58,29,59,3,31,130297975,49,9000,1000,30,0,11
59,29,58,31,3,1369702025,0,1,1000,14,0,7
60,30,61,8,32,19594,200,1,1000,40,0,83
61,30,60,32,8,49980406,1000,10,1000,14,0,39
62,31,63,10,32,5620713,1000,1,0,144,0,5
63,31,62,32,10,44379287,1000,10,1000,14,0,12
64,32,65,3,32,2072022,49,9000,0,30,0,0
65,32,64,32,3,47927978,1000,10,1000,14,0,0
66,33,67,24,32,1607281,1000,10,0,144,0,8
67,33,66,32,24,48392719,1000,10,1000,14,0,7
68,34,69,33,32,4709277,0,0,1,40,0,18
69,34,68,32,33,45290723,1000,10,1000,14,0,28
70,35,71,2,34,1766286,0,1000,1000,18,0,9
71,35,70,34,2,94226714,100,1,1000,144,0,15
72,36,73,24,35,4178128,800,1,1000,144,0,115
73,36,72,35,24,152746872,1000,1,1000,144,0,122
74,37,75,36,4,10141465,1000,1,1000,144,0,12
75,37,74,4,36,875763535,1000,1,1000,144,0,22
76,38,77,37,33,2115643,1000,10,1000,14,0,115
77,38,76,33,37,47884357,0,0,1,40,0,95
78,39,79,38,4,122821341,1000,1,1000,144,0,114
79,39,78,4,38,9874728659,1000,1,1000,144,0,89
80,40,81,33,39,9591945,0,0,1,40,0,16
81,40,80,39,33,90408055,1000,10,1000,14,0,31
82,41,83,21,40,30053239,1000,1,1000,14,0,13
83,41,82,40,21,327829761,1000,1900,1000,144,0,0
84,42,85,41,40,93072986,1000,1,1000,144,0,0
85,42,84,40,41,1906927014,1000,1900,1000,144,0,2
86,43,87,42,43,113085,1000,10,1000,14,0,127
87,43,86,43,42,57186915,1,1,1000,4,0,120
88,44,89,44,40,44474630,1000,1,1000,144,0,104
89,44,88,40,44,882649370,1000,1900,1000,144,0,87
90,45,91,8,45,1280253,200,1,1000,40,0,58
91,45,90,45,8,18719747,1000,1,1000,144,0,53
92,46,93,33,40,134328898,0,0,1000,40,0,14
93,46,92,40,33,1865671102,1000,1900,1000,144,0,11
94,47,95,43,39,7069660,1,1,1000,4,0,7
95,47,94,39,43,172930340,1000,10,1000,14,0,17
96,48,97,22,39,13196737,0,1,1000,144,0,10
97,48,96,39,22,266803263,1000,10,1000,14,0,22
98,49,99,46,6,5034830,1000,1,1000,144,0,75
99,49,98,6,46,442224170,49,10,1000,144,0,48
100,50,101,47,8,4241653,1000,1,1000,144,0,93
101,50,100,8,47,32734347,200,1,1000,40,0,102
102,51,103,48,21,2613782,749,484,1000,144,0,1
103,51,102,21,48,1597386218,1000,1,1000,144,0,3
104,52,105,49,40,11700334,100,100,1000,144,0,0
105,52,104,40,49,188299666,1000,1900,1000,144,0,1
106,53,107,24,39,10844205,1000,10,0,144,0,0
107,53,106,39,24,319155795,1000,10,1000,14,0,4
108,54,109,46,39,10281475,1000,1,1000,144,0,13
109,54,108,39,46,169718525,1000,10,1000,14,0,26
110,55,111,50,8,14110491,1000,600,1000,40,0,6
111,55,110,8,50,213275509,200,1,1000,40,0,38
112,56,113,46,51,608753,1000,1,1000,144,0,82
113,56,112,51,46,19391247,1000,1,1000,144,0,76
114,57,115,46,51,1008215,1000,1,1000,144,0,0
115,57,114,51,46,18991785,1000,1,1000,144,0,0
116,58,117,2,52,31812584,0,1000,1000,9,0,22
117,58,116,52,2,468187416,1000,1,1000,144,0,28
118,59,119,53,40,13159278,1000,1,1000,144,0,109
119,59,118,40,53,177622722,1000,1900,1000,144,0,112
120,60,121,54,55,9586993,1000,1,1000,144,0,89
121,60,120,55,54,79554007,1000,1,1000,144,0,117
122,61,123,54,56,10454286,1000,1,1000,144,0,58
123,61,122,56,54,122097714,1000,10,1000,14,0,53
124,62,125,54,57,6542202,1000,1,1000,144,0,79
125,62,124,57,54,193457798,1000,10,1000,14,0,142
126,63,127,58,40,80704031,1000,1,1000,144,0,35
127,63,126,40,58,899295969,1000,1900,1000,144,0,15
128,64,129,59,60,5161659,1000,1,1000,144,0,43
129,64,128,60,59,127603341,100,10,1000,144,0,2
130,65,131,58,61,133899,1000,1,1000,144,0,44
131,65,130,61,58,33869101,1000,1000,1000,4,0,44
132,66,133,62,63,100801723,850,84,1000,142,0,11
133,66,132,63,62,1899197277,0,1,1000,144,0,6
134,67,135,63,64,72522004,0,1,1000,144,0,7
135,67,134,64,63,927477996,1000,1,1000,144,0,31
136,68,137,54,65,16132514,1000,1,1000,144,0,90
137,68,136,65,54,158864486,1000,10,1000,14,0,109
138,69,139,54,66,2307260,1000,1,1000,144,0,30
139,69,138,66,54,181183740,1000,1000,1000,144,0,47
140,70,141,54,67,1069661,1000,1,1000,144,0,93
141,70,140,67,54,125121339,1000,1,1000,144,0,118
142,71,143,46,51,1141945,1000,1,1000,144,0,0
143,71,142,51,46,18858055,1000,1,1000,144,0,0
144,72,145,46,51,1964729,1000,1,1000,144,0,0
145,72,144,51,46,18035271,1000,1,1000,144,0,0
146,73,147,46,68,1912919,1000,1,1000,144,0,100
147,73,146,68,46,58087081,1000,1,1000,144,0,111
148,74,149,69,24,17544802,1000,1,1000,144,0,94
149,74,148,24,69,164974198,800,1,1000,144,0,98
150,75,151,46,51,1921218,1000,1,1000,144,0,0
151,75,150,51,46,18078782,1000,1,1000,144,0,0
152,76,153,63,70,30239774,0,1,1000,144,0,9
153,76,152,70,63,969760226,1000,1,1000,144,0,27
154,77,155,56,8,1609824,1000,10,1000,14,0,60
155,77,154,8,56,38390176,200,1,1000,40,0,75
156,78,157,54,71,40073459,1000,1,1000,144,0,94
157,78,156,71,54,439926541,1000,1,1000,144,0,107
158,79,159,54,72,2183091,1000,1,1000,144,0,110
159,79,158,72,54,174532909,1000,10,1000,14,0,117
160,80,161,54,73,8837259,1000,1,1000,144,0,98
161,80,160,73,54,244599741,1000,1,1000,144,0,105
162,81,163,54,74,12081683,1000,1,1000,144,0,77
163,81,162,74,54,210191317,1000,10,1000,14,0,51
164,82,165,46,45,3986182,1000,1,1000,144,0,43
165,82,164,45,46,246013818,1000,1,1000,144,0,45
166,83,167,75,17,18846275,1000,1,1000,144,0,35
167,83,166,17,75,981153725,100,1,1000,144,0,25
168,84,169,76,77,92677918,1000,1,1000,144,0,21
169,84,168,77,76,907322082,1000,1700,1000,30,0,14
170,85,171,2,78,255109,0,0,1000,9,0,65
171,85,170,78,2,99744891,1000,1,1000,144,0,47
172,86,173,76,5,40350645,1000,1,1000,144,0,3
173,86,172,5,76,959649355,1000,1,1000,144,0,3
174,87,175,79,63,3373676,1000,1,1000,144,0,29
175,87,174,63,79,296626324,0,1,1000,144,0,24
176,88,177,24,80,8292466,800,10,1000,144,0,19
177,88,176,80,24,191707534,1000,10,1000,14,0,14
178,89,179,54,66,7624678,1000,1,1000,144,0,0
179,89,178,66,54,192375322,1000,1000,1000,144,0,0
180,90,181,46,45,6331072,1000,1,1000,144,0,0
181,90,180,45,46,93668928,1000,1,1000,144,0,0
182,91,183,33,81,6549107,0,0,1,40,0,113
183,91,182,81,33,93450893,1000,100,1000,144,0,102
184,92,185,82,54,2130433,1000,1,1000,144,0,99
185,92,184,54,82,21958567,1000,1,1000,144,0,97
186,93,187,24,83,22357031,800,10,1000,144,0,98
187,93,186,83,24,477642969,1000,10,1000,14,0,100
188,94,189,84,54,11050882,1000,1,1000,144,0,111
189,94,188,54,84,164313118,1000,1,1000,144,0,73
190,95,191,54,85,53900474,1000,1,1000,144,0,100
191,95,190,85,54,798724526,1000,1,1000,144,0,129
192,96,193,46,49,22646980,1000,1,1000,144,0,43
193,96,192,49,46,877353020,100,100,1000,144,0,34
