id,edge1,edge2,node1,node2,capacity,is_closed
0,0,1,0,1,50000000,0
1,2,3,2,1,20000000,0
2,4,5,2,1,20000000,0
3,6,7,3,2,105000000,0
4,8,9,2,5,22000000,0
5,10,11,7,8,6789000,0
6,12,13,9,10,96354000,0
7,14,15,9,10,250000000,0
8,16,17,8,12,63874000,0
9,18,19,10,8,150000000,0
10,20,21,13,10,150000000,0
11,22,23,14,15,2000000,0
12,24,25,2,17,200000000,0
13,26,27,16,18,3333000,0
14,28,29,2,19,108240000,0
15,30,31,20,21,237928000,0
16,32,33,16,24,1831257000,0
17,34,35,3,25,100000000,0
18,36,37,27,28,20000000,0
19,38,39,29,8,10000000,0
20,40,41,27,25,300000000,0
21,42,43,30,22,189822000,0
22,44,45,10,32,50000000,0
23,46,47,3,32,50000000,0
24,48,49,24,32,50000000,0
25,50,51,33,32,50000000,0
26,52,53,24,35,156925000,0
27,54,55,36,4,885905000,0
28,56,57,37,33,50000000,0
29,58,59,38,4,9997550000,0
30,60,61,33,39,100000000,0
31,62,63,21,40,357883000,0
32,64,65,41,40,2000000000,0
33,66,67,8,45,20000000,0
34,68,69,43,39,180000000,0
35,70,71,46,6,447259000,0
36,72,73,49,40,200000000,0
37,74,75,46,39,180000000,0
38,76,77,46,51,20000000,0
39,78,79,2,52,500000000,0
40,80,81,53,40,190782000,0
41,82,83,54,55,89141000,0
42,84,85,54,57,200000000,0
43,86,87,59,60,132765000,0
44,88,89,58,61,34003000,0
45,90,91,62,63,1999999000,0
46,92,93,63,64,1000000000,0
47,94,95,54,65,174997000,0
48,96,97,54,67,126191000,0
49,98,99,46,51,20000000,0
50,100,101,46,51,20000000,0
51,102,103,69,24,182519000,0
52,104,105,63,70,1000000000,0
53,106,107,56,8,40000000,0
54,108,109,54,71,480000000,0
55,110,111,54,72,176716000,0
56,112,113,54,73,253437000,0
57,114,115,46,45,250000000,0
58,116,117,75,17,1000000000,0
59,118,119,76,77,1000000000,0
60,120,121,2,78,100000000,0
61,122,123,76,5,1000000000,0
62,124,125,79,63,300000000,0
63,126,127,24,80,200000000,0
64,128,129,54,66,200000000,0
65,130,131,46,45,100000000,0
66,132,133,33,81,100000000,0
67,134,135,82,54,24089000,0
68,136,137,24,83,500000000,0
69,138,139,84,54,175364000,0
70,140,141,54,85,852625000,0
71,142,143,46,49,900000000,0
72,144,145,87,24,350000000,0
73,146,147,8,88,50000000,0
74,148,149,66,8,500000000,0
