id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,2,1,440071,0,1,1000,144,0,4
1,0,0,1,2,19559929,1000,1,1000,144,0,0
2,1,3,2,1,1443619,0,1,1000,144,0,0
3,1,2,1,2,18556381,1000,1,1000,144,0,0
4,2,5,3,2,780293,49,9000,1000,30,0,2
5,2,4,2,3,104219707,0,0,1000,9,0,1
6,3,7,2,6,2837570,0,1000,1000,18,0,0
7,3,6,6,2,41162430,49,10,1000,144,0,0
8,4,9,9,10,8865782,1000,1,1000,144,0,1
9,4,8,10,9,87488218,1000,1,1000,144,0,1
10,5,11,11,4,591374,1000,1,1000,144,0,0
11,5,10,4,11,34035626,1000,1,1000,144,0,1
12,6,13,8,12,2723182,200,1,1000,40,0,0
13,6,12,12,8,61150818,1000,1,1000,144,0,1
14,7,15,2,19,8946082,0,0,1000,18,0,3
15,7,14,19,2,99293918,1000,1,1000,144,0,0
16,8,17,16,24,169037936,0,1,1000,144,0,0
17,8,16,24,16,1662219064,800,1,1000,144,0,1
18,9,19,3,25,6791029,49,9000,0,30,0,1
19,9,18,25,3,93208971,1000,10,1000,14,0,1
20,10,21,27,28,1068464,1000,1,0,144,0,1
21,10,20,28,27,18931536,1000,10,1000,14,0,1
22,11,23,8,32,4921341,200,1,1000,40,0,0
23,11,22,32,8,45078659,1000,10,1000,14,0,1
24,12,25,10,32,4921973,1000,1,0,144,0,0
25,12,24,32,10,45078027,1000,10,1000,14,0,0
26,13,27,2,34,1164694,0,1000,1000,18,0,0
27,13,26,34,2,94828306,100,1,1000,144,0,0
28,14,29,37,33,3622710,1000,10,1000,14,0,0
29,14,28,33,37,46377290,0,0,1,40,0,0
30,15,31,33,39,8110421,0,0,1,40,0,0
31,15,30,39,33,91889579,1000,10,1000,14,0,0
32,16,33,41,40,92871681,1000,1,1000,144,0,0
33,16,32,40,41,1907128319,1000,1900,1000,144,0,0
34,17,35,44,40,45893640,1000,1,1000,144,0,0
35,17,34,40,44,881230360,1000,1900,1000,144,0,1
36,18,37,22,39,12008640,0,1,1000,144,0,0
37,18,36,39,22,267991360,1000,10,1000,14,0,0
38,19,39,47,8,3036432,1000,1,1000,144,0,1
39,19,38,8,47,33939568,200,1,1000,40,0,0
40,20,41,24,39,10446591,1000,10,0,144,0,0
41,20,40,39,24,319553409,1000,10,1000,14,0,0
42,21,43,50,8,10911934,1000,600,1000,40,0,0
43,21,42,8,50,216474066,200,1,1000,40,0,0
