id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,4632,1794,99995,1005,1598,0,1,0,0,0,1,47257-23641-13233,0
1,2660,4497,99994,1880,61980,0,0,185,0,1,186,23621-40374-40370-6486-43781,0
2,1350,151,100632,3309,63813,0,0,191,0,1,192,8521-11381-15643-14634-48242,0
3,1594,1015,99604,3471,3471,0,0,0,0,0,1,-1,
4,4116,4107,100991,5145,6138,0,0,3,0,0,4,43735-22969-37909-37912,1
5,1189,3678,99628,6444,66544,0,0,250,0,1,251,7363-27491-30384-45225-32414,0
6,5512,3248,99310,7226,23960,0,0,71,0,0,72,54383-44999-51288-51291-28612,99310
7,2484,853,99420,8102,13076,0,0,15,0,0,16,50149-59429-39647-4764,0
8,4048,1096,101263,8671,68788,0,0,225,0,1,226,38409-45448-45324-6909,6
9,633,3710,100110,8738,9338,0,1,0,0,0,1,3217-5171-32645,0
10,3906,339,101405,10373,10373,0,0,0,0,0,1,-1,
11,70,3133,100784,10776,11377,0,1,1,0,0,2,19523-50963,10
12,1917,3361,99736,11133,13327,0,1,6,0,0,7,14647-13449-8977-29299,0
13,2469,684,102039,11263,11263,0,0,0,0,0,1,-1,
14,3288,4394,99713,11484,71573,0,0,288,0,1,289,36261-33738-33660-43233,0
15,4605,5146,99539,11854,29752,0,0,75,0,0,76,45603-44999-28872-40551-52314,99539
16,4532,3589,100709,14007,15997,0,0,3,0,0,4,44305-46747-46743-23415-27612-34282-30999-31292,0
17,5904,1955,98747,16092,16092,0,0,0,0,0,1,-1,
18,2357,1778,100364,16255,16453,0,0,1,0,0,2,19379-12976,0
19,3958,2306,100604,16828,52621,0,0,166,0,0,167,35937-22086-22050-1335-18896,0
20,5931,2139,102286,18577,50220,0,0,75,0,0,76,59703-53379-49357-45910-45334-17609,0
21,897,1509,100348,19083,19683,0,1,0,0,0,1,5079-3859-10851,0
22,5422,3831,97772,19975,19975,0,0,0,0,0,1,-1,
