id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,50000000
1,2,3,2,1,20000000
2,4,5,2,1,20000000
3,6,7,3,2,105000000
4,8,9,2,5,22000000
5,10,11,2,6,44000000
6,12,13,7,8,6789000
7,14,15,9,10,96354000
8,16,17,9,10,250000000
9,18,19,8,12,63874000
10,20,21,10,8,150000000
11,22,23,13,10,150000000
12,24,25,6,4,12137000
13,26,27,14,15,2000000
14,28,29,16,15,2000000
15,30,31,2,17,200000000
16,32,33,16,18,3333000
17,34,35,2,19,108240000
18,36,37,20,21,237928000
19,38,39,16,24,1831257000
20,40,41,3,25,100000000
21,42,43,27,28,20000000
22,44,45,29,8,10000000
23,46,47,27,25,300000000
24,48,49,30,22,189822000
25,50,51,3,31,1500000000
26,52,53,8,32,50000000
27,54,55,10,32,50000000
28,56,57,3,32,50000000
29,58,59,24,32,50000000
30,60,61,33,32,50000000
31,62,63,2,34,95993000
32,64,65,24,35,156925000
33,66,67,36,4,885905000
34,68,69,37,33,50000000
35,70,71,38,4,9997550000
36,72,73,33,39,100000000
37,74,75,21,40,357883000
38,76,77,41,40,2000000000
39,78,79,42,43,57300000
40,80,81,44,40,927124000
41,82,83,8,45,20000000
42,84,85,43,39,180000000
43,86,87,46,6,447259000
44,88,89,47,8,36976000
45,90,91,48,21,1600000000
46,92,93,49,40,200000000
47,94,95,46,39,180000000
48,96,97,46,51,20000000
49,98,99,2,52,500000000
50,100,101,53,40,190782000
51,102,103,54,55,89141000
52,104,105,54,56,132552000
53,106,107,54,57,200000000
54,108,109,58,40,980000000
55,110,111,59,60,132765000
56,112,113,58,61,34003000
57,114,115,62,63,1999999000
58,116,117,63,64,1000000000
59,118,119,54,65,174997000
60,120,121,54,67,126191000
61,122,123,46,51,20000000
62,124,125,46,51,20000000
63,126,127,69,24,182519000
64,128,129,63,70,1000000000
65,130,131,56,8,40000000
66,132,133,54,71,480000000
67,134,135,54,72,176716000
68,136,137,54,73,253437000
69,138,139,54,74,222273000
70,140,141,46,45,250000000
71,142,143,75,17,1000000000
72,144,145,76,77,1000000000
73,146,147,2,78,100000000
74,148,149,76,5,1000000000
75,150,151,79,63,300000000
76,152,153,24,80,200000000
77,154,155,54,66,200000000
78,156,157,46,45,100000000
79,158,159,33,81,100000000
80,160,161,82,54,24089000
81,162,163,24,83,500000000
82,164,165,84,54,175364000
83,166,167,54,85,852625000
84,168,169,46,49,900000000
85,170,171,87,24,350000000
86,172,173,54,40,212248000
87,174,175,8,88,50000000
88,176,177,66,8,500000000
89,178,179,89,87,500000000
90,180,181,89,1,500000000
91,182,183,90,24,87340000
92,184,185,54,80,300000000
93,186,187,80,1,300000000
94,188,189,10,80,300000000
95,190,191,87,80,400000000
96,192,193,27,80,400000000
97,194,195,54,91,265868000
98,196,197,87,49,661500000
99,198,199,54,92,273199000
100,200,201,87,93,102000000
101,202,203,94,95,16777215000
102,204,205,54,96,239757000
103,206,207,33,97,70280000
104,208,209,98,77,498765000
105,210,211,98,99,498765000
106,212,213,95,40,4000000000
107,214,215,40,12,500000000
108,216,217,100,1,31031000
109,218,219,101,102,416305000
110,220,221,87,103,305558000
111,222,223,104,10,154829000
112,224,225,105,12,12594867000
113,226,227,106,98,498765000
114,228,229,54,46,267361000
115,230,231,66,109,100000000
116,232,233,63,109,100000000
117,234,235,87,110,2000000000
118,236,237,87,109,162000000
119,238,239,111,10,147965000
120,240,241,87,112,25000000
121,242,243,87,76,250000000
122,244,245,87,6,100000000
123,246,247,54,113,44499000
124,248,249,54,114,20000000
125,250,251,109,77,300000000
126,252,253,87,115,10000000000
127,254,255,117,4,318000000
128,256,257,118,119,123006000
129,258,259,54,120,1200000000
130,260,261,121,46,500000000
131,262,263,122,87,300000000
132,264,265,87,124,300000000
133,266,267,87,125,200000000
134,268,269,46,126,48000000
135,270,271,127,46,400000000
136,272,273,54,127,288716000
137,274,275,127,46,400000000
138,276,277,115,128,50000000
139,278,279,46,109,200000000
140,280,281,127,115,400000000
141,282,283,58,129,100000000
142,284,285,54,33,226588000
143,286,287,129,130,100000000
144,288,289,132,2,30000000
145,290,291,46,24,250000000
146,292,293,115,108,200000000
147,294,295,76,77,1000000000
148,296,297,24,75,300000000
149,298,299,33,77,5000000000
150,300,301,46,33,5000000000
151,302,303,46,93,300000000
152,304,305,54,131,23402000
153,306,307,134,46,20000000
154,308,309,54,129,100000000
155,310,311,87,135,200000000
156,312,313,136,10,20000000
157,314,315,136,109,20000000
158,316,317,87,137,45436000
159,318,319,10,108,200000000
160,320,321,4,108,200000000
161,322,323,40,108,200000000
162,324,325,24,108,200000000
163,326,327,10,108,200000000
164,328,329,138,33,29182000
165,330,331,54,139,239517000
166,332,333,54,24,500000000
167,334,335,54,140,279214000
168,336,337,46,137,100000000
169,338,339,141,49,300000000
170,340,341,54,142,20000000
171,342,343,87,144,400000000
172,344,345,54,144,400000000
173,346,347,43,119,92155000
174,348,349,54,107,16774736000
175,350,351,147,2,399878000
176,352,353,148,63,20000000
177,354,355,148,63,30000000
178,356,357,148,63,30000000
179,358,359,148,63,20000000
180,360,361,148,63,41000000
181,362,363,148,63,30000000
182,364,365,54,149,20000000
183,366,367,87,149,200000000
184,368,369,149,130,20000000
185,370,371,46,149,20000000
186,372,373,2,150,8000000000
187,374,375,87,152,631502000
188,376,377,130,108,200000000
189,378,379,87,108,200000000
190,380,381,8,108,200000000
191,382,383,40,108,200000000
192,384,385,33,108,200000000
193,386,387,108,1,200000000
194,388,389,22,153,500000000
195,390,391,123,130,12237197000
196,392,393,54,154,150000000
197,394,395,54,155,20000000
198,396,397,24,108,200000000
