id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,2,1,20000000
1,2,3,14,15,2000000
2,4,5,2,17,200000000
3,6,7,2,19,108240000
4,8,9,16,24,1831257000
5,10,11,3,25,100000000
6,12,13,27,28,20000000
7,14,15,27,25,300000000
8,16,17,30,22,189822000
9,18,19,10,32,50000000
10,20,21,24,35,156925000
11,22,23,37,33,50000000
12,24,25,33,39,100000000
13,26,27,21,40,357883000
14,28,29,8,45,20000000
15,30,31,49,40,200000000
16,32,33,46,51,20000000
17,34,35,54,55,89141000
18,36,37,54,57,200000000
19,38,39,58,61,34003000
20,40,41,63,64,1000000000
21,42,43,54,67,126191000
22,44,45,46,51,20000000
23,46,47,63,70,1000000000
24,48,49,54,71,480000000
25,50,51,54,72,176716000
26,52,53,46,45,250000000
27,54,55,79,63,300000000
28,56,57,24,83,500000000
29,58,59,54,85,852625000
30,60,61,46,49,900000000
31,62,63,87,24,350000000
32,64,65,8,88,50000000
33,66,67,54,80,300000000
34,68,69,10,80,300000000
35,70,71,87,80,400000000
36,72,73,27,80,400000000
37,74,75,87,49,661500000
38,76,77,98,99,498765000
39,78,79,95,40,4000000000
40,80,81,106,98,498765000
41,82,83,54,46,267361000
42,84,85,111,10,147965000
43,86,87,87,112,25000000
44,88,89,87,76,250000000
45,90,91,54,113,44499000
46,92,93,109,77,300000000
47,94,95,118,119,123006000
48,96,97,46,126,48000000
49,98,99,127,115,400000000
50,100,101,58,129,100000000
51,102,103,54,33,226588000
52,104,105,132,2,30000000
53,106,107,76,77,1000000000
54,108,109,54,131,23402000
55,110,111,87,137,45436000
56,112,113,10,108,200000000
57,114,115,4,108,200000000
58,116,117,24,108,200000000
59,118,119,10,108,200000000
60,120,121,141,49,300000000
61,122,123,147,2,399878000
62,124,125,148,63,20000000
63,126,127,148,63,30000000
64,128,129,148,63,30000000
65,130,131,54,149,20000000
66,132,133,149,130,20000000
67,134,135,46,149,20000000
68,136,137,87,108,200000000
69,138,139,40,108,200000000
70,140,141,33,108,200000000
71,142,143,123,130,12237197000
72,144,145,54,155,20000000
73,146,147,24,108,200000000
74,148,149,46,45,1000000000
75,150,151,40,108,200000000
76,152,153,46,158,500000000
77,154,155,165,24,345678000
78,156,157,46,165,100000000
79,158,159,168,8,89077000
80,160,161,150,40,3300000000
81,162,163,170,150,40000000
82,164,165,54,172,233758000
83,166,167,46,173,16775146000
84,168,169,175,8,124566000
85,170,171,115,180,800000000
86,172,173,128,40,5364000000
87,174,175,150,183,477974000
88,176,177,54,188,70000000
89,178,179,58,189,225524000
90,180,181,58,192,100000000
91,182,183,194,40,5000000000
92,184,185,95,195,774861000
93,186,187,156,77,1098273000
94,188,189,54,196,263464000
95,190,191,46,145,250000000
96,192,193,54,145,250000000
97,194,195,194,1,1000000000
98,196,197,62,194,1000000000
99,198,199,199,22,97000000
100,200,201,58,202,111287000
101,202,203,24,150,350000000
102,204,205,170,130,20000000
103,206,207,206,63,400000000
104,208,209,46,170,30000000
105,210,211,160,206,700000000
106,212,213,208,130,56000000
107,214,215,58,206,5000000000
108,216,217,211,177,460000000
109,218,219,207,40,50000000
110,220,221,24,139,1000000000
111,222,223,87,119,3874729000
112,224,225,218,58,250000000
113,226,227,150,221,435345000
114,228,229,33,206,400000000
115,230,231,46,225,1000000000
116,232,233,219,17,1000000000
117,234,235,122,58,2000000000
118,236,237,54,227,500000000
119,238,239,54,231,26354000
120,240,241,228,233,1000000000
121,242,243,116,234,1000000000
122,244,245,54,238,536970000
123,246,247,54,239,67538000
124,248,249,54,241,200000000
125,250,251,54,244,247844000
126,252,253,54,16,2000000000
127,254,255,19,227,240000000
128,256,257,115,194,2500000000
129,258,259,58,110,500000000
130,260,261,250,251,150000000
131,262,263,191,46,100000000
132,264,265,249,58,78000000
133,266,267,24,253,70239000
134,268,269,100,130,53728000
135,270,271,258,150,350000000
136,272,273,259,40,50000000
137,274,275,212,261,2000000000
138,276,277,262,54,283698000
139,278,279,54,265,285145000
140,280,281,62,192,500000000
141,282,283,54,269,266487000
142,284,285,46,272,250000000
143,286,287,95,227,500000000
144,288,289,46,8,480000000
145,290,291,54,273,245757000
146,292,293,251,278,147306000
147,294,295,79,58,250000000
148,296,297,279,130,326929000
149,298,299,222,276,261800000
150,300,301,24,280,98683000
151,302,303,281,77,1500000000
152,304,305,250,282,1686608000
153,306,307,10,283,238270000
154,308,309,276,252,800000000
155,310,311,286,58,562110000
156,312,313,276,287,800000000
157,314,315,54,288,40000000
158,316,317,54,292,240484000
159,318,319,150,227,1100000000
160,320,321,263,119,387705000
161,322,323,283,130,26263000
162,324,325,54,302,282562000
163,326,327,296,303,400000000
164,328,329,87,288,500000000
165,330,331,54,304,2000000000
166,332,333,46,307,100000000
167,334,335,104,282,2000000000
168,336,337,308,282,2000000000
169,338,339,310,282,2000000000
170,340,341,50,282,2000000000
171,342,343,317,282,1998218000
172,344,345,228,233,900000000
173,346,347,77,319,300000000
174,348,349,263,107,130064000
175,350,351,323,282,77118000
176,352,353,250,276,800000000
177,354,355,189,326,16777215000
178,356,357,327,60,2159343000
179,358,359,328,109,98532000
180,360,361,303,326,16777215000
181,362,363,330,326,16777215000
182,364,365,326,332,16777215000
183,366,367,115,273,121788000
184,368,369,323,326,100000000
185,370,371,334,323,100000000
186,372,373,323,194,100000000
187,374,375,95,334,16777215000
188,376,377,335,86,2000000000
189,378,379,189,332,900000000
190,380,381,336,332,900000000
191,382,383,24,337,600000000
192,384,385,344,332,9000000000
193,386,387,346,326,9000000000
194,388,389,334,347,9000000000
195,390,391,334,340,9000000000
196,392,393,98,349,9000000000
197,394,395,326,350,9000000000
198,396,397,31,340,9000000000
199,398,399,353,340,9000000000
200,400,401,354,334,9000000000
201,402,403,340,347,9000000000
202,404,405,332,345,900000000
203,406,407,356,347,9000000000
204,408,409,358,347,9000000000
205,410,411,359,347,9000000000
206,412,413,358,342,9000000000
207,414,415,31,359,9000000000
208,416,417,343,340,9000000000
209,418,419,343,342,9000000000
210,420,421,345,340,9000000000
211,422,423,346,340,9000000000
212,424,425,342,354,9000000000
213,426,427,343,346,9000000000
214,428,429,265,346,9000000000
215,430,431,346,347,9000000000
216,432,433,353,342,9000000000
217,434,435,334,344,9000000000
218,436,437,346,355,9000000000
219,438,439,353,361,9000000000
220,440,441,346,345,9000000000
